"year","TAZ","count"
2020,20244500,1619
2019,20244600,3311
2020,20244600,3289
2019,20244700,2272
2020,20244700,2240
2019,20245100,3610
2020,20245100,3636
2019,20245200,2324
2020,20245200,2312
2019,20246100,1733
2020,20246100,1735
2019,20246200,441
2020,20246200,452
2019,20248100,1237
2020,20248100,1232
2019,20248200,3034
2020,20248200,3019
2019,20249100,1364
2020,20249100,1322
2019,20249200,1834
2020,20249200,1866
2019,20251100,921
2020,20251100,898
2019,20251200,1026
2020,20251200,1039
2019,20252100,2138
2020,20252100,2143
2019,20252200,2052
2020,20252200,2514
2019,20252300,3878
2020,20252300,3738
2019,20253100,3752
2020,20253100,3774
2019,20253200,1475
2020,20253200,1441
2019,20253300,2271
2020,20253300,2210
2019,20254100,2562
2020,20254100,2462
2019,20255100,2987
2020,20255100,2943
2019,20255200,1741
2020,20255200,1674
2019,20255300,100
2020,20255300,93
2019,20256100,8048
2020,20256100,8121
2019,20257100,2985
2020,20257100,2948
2019,20257200,2614
2020,20257200,2624
2019,20258100,4806
2020,20258100,4641
2019,20258200,794
2020,20258200,780
2019,20260100,1251
2020,20260100,1253
2019,20260200,2798
2020,20260200,2803
2019,20260300,4312
2020,20260300,4204
2019,20261100,1411
2020,20261100,1454
2019,20261200,515
2020,20261200,559
2019,20261300,1558
2020,20261300,1577
2019,20263100,2290
2020,20263100,2286
2019,20263200,1194
2020,20263200,1221
2019,20263300,2516
2020,20263300,2484
2019,20263400,2375
2020,20263400,2308
2019,20265100,9085
2020,20265100,9105
2019,20266100,3059
2020,20266100,3023
2019,20266200,1140
2020,20266200,1192
2019,20267100,3177
2020,20267100,3034
2019,20267200,5807
2020,20267200,5640
2019,20268100,1381
2020,20268100,1391
2019,20268200,1654
2020,20268200,1681
2019,20269100,1827
2020,20269100,1777
2019,20270100,1512
2020,20270100,1540
2019,20272100,4416
2020,20272100,4247
2019,20274100,4261
2020,20274100,4226
2019,20274200,2118
2020,20274200,2105
2019,20276100,2347
2020,20276100,2369
2019,20289100,10
2020,20289100,10
2019,20289200,254
2020,20289200,252
2019,20289300,0
2020,20289300,0
2019,20289400,188
2020,20289400,169
2019,20289500,10
2020,20289500,10
2019,20289600,22
2020,20289600,26
2019,20289700,10
2020,20289700,10
2019,20290100,0
2020,20290100,0
2019,20290200,18
2020,20290200,20
2019,20290300,26
2020,20290300,24
2019,20290400,139
2020,20290400,142
2019,20290500,15
2020,20290500,14
2019,20290600,69
2020,20290600,72
2019,20290700,29
2020,20290700,22
2019,20290800,829
2020,20290800,823
2019,20291100,47
2020,20291100,46
2019,20291200,22
2020,20291200,19
2019,20291300,1616
