block_id,ln_total_hh,ln_total_jobs,ln_total_units,sum_acres,total_hh,total_jobs,total_units
060971534032007,1.6094379124341003,4.442651256490317,0.6931471805599453,11.848939671745502,4.0,84.0,1.0
060971534032008,3.1780538303479453,5.929589143389895,3.2188758248682006,21.526319170912757,23.0,375.0,24.0
060971534032009,2.5649493574615367,4.418840607796597,3.1354942159291497,3.9225473577044916,12.0,82.0,22.0
060971534032010,3.9318256327243257,5.135798437050261,3.951243718581427,9.544189816302021,50.0,169.0,51.0
060971534032012,4.025351690735149,5.976350909297934,4.343805421853684,49.73362063426953,55.0,393.0,76.0
060971534032015,1.9459101490553132,4.836281906951478,1.3862943611198906,1.461874144398373,6.0,125.0,3.0
060971534032016,2.5649493574615367,3.7135720667043075,2.5649493574615367,2.5543260700889086,12.0,40.0,12.0
060971534032017,3.1354942159291497,3.8918202981106265,3.2188758248682006,5.942137855028343,22.0,48.0,24.0
060971534032018,2.833213344056216,3.951243718581427,2.995732273553991,2.8249062235906357,16.0,51.0,19.0
060971534032031,2.0794415416798357,4.795790545596741,2.3025850929940455,10.966774239780966,7.0,120.0,9.0
060971534032032,0.0,2.772588722239781,0.6931471805599453,1.3608081327251251,0.0,15.0,1.0
060971534032033,2.3025850929940455,4.59511985013459,1.3862943611198906,1.6177975022610123,9.0,98.0,3.0
060971534032034,2.9444389791664403,1.791759469228055,2.995732273553991,2.1122549334545795,18.0,5.0,19.0
060971534032035,3.1780538303479453,0.0,3.4657359027997265,1.9659686769495361,23.0,0.0,31.0
060971534033000,2.772588722239781,4.574710978503383,2.833213344056216,12.656232239316408,15.0,96.0,16.0
060971534033001,3.6109179126442243,1.0986122886681096,3.8712010109078907,8.707244629169281,36.0,2.0,47.0
060971534033002,0.0,0.0,0.0,0.30196250920466733,0.0,0.0,0.0
060971534033003,3.6888794541139363,1.791759469228055,3.8501476017100584,14.504578858670673,39.0,5.0,46.0
060971534033004,2.995732273553991,0.0,3.044522437723423,4.011999426716022,19.0,0.0,20.0
060971534033005,4.04305126783455,1.9459101490553132,4.174387269895637,17.38730769040688,56.0,6.0,64.0
060971534033006,3.332204510175204,0.0,3.1780538303479453,5.144729493978047,27.0,0.0,23.0
060971534033007,3.58351893845611,3.4011973816621555,3.6888794541139363,6.361475316665266,35.0,29.0,39.0
060971534033008,3.0910424533583156,2.995732273553991,3.295836866004329,3.9699915490034248,21.0,19.0,26.0
060971534033009,2.772588722239781,1.791759469228055,2.9444389791664403,2.959331432270946,15.0,5.0,18.0
060971534033010,3.4965075614664802,2.197224577336219,3.58351893845611,11.209184404698952,32.0,8.0,35.0
060971534033011,3.044522437723423,1.0986122886681096,2.833213344056216,4.673747053270931,20.0,2.0,16.0
060971534034000,0.0,0.0,0.0,1.3158349930563449,0.0,0.0,0.0
060971534034001,3.7135720667043075,4.844187086458591,3.7135720667043075,13.163539138986769,40.0,126.0,40.0
060971534034002,0.0,0.6931471805599453,0.6931471805599453,0.07783812634981195,0.0,1.0,1.0
060971534034003,3.8501476017100584,3.6888794541139363,3.9318256327243257,7.4437959306721755,46.0,39.0,50.0
060971534034004,2.9444389791664403,2.0794415416798357,3.044522437723423,4.733299397557612,18.0,7.0,20.0
060971534034005,2.3978952727983707,1.9459101490553132,2.0794415416798357,1.6699366916572354,10.0,6.0,7.0
060971534034006,4.276666119016055,4.477336814478206,4.442651256490317,21.568821258951385,71.0,87.0,84.0
060971534034007,2.0794415416798357,0.6931471805599453,1.3862943611198906,0.8211304566997623,7.0,1.0,3.0
060971534034008,3.9702919135521215,1.9459101490553132,3.9318256327243257,26.240344365755178,52.0,6.0,50.0
060971534034009,3.1354942159291497,0.0,3.044522437723423,6.17293407728461,22.0,0.0,20.0
060971534034011,2.70805020110221,1.0986122886681096,1.6094379124341003,0.98916196755015,14.0,2.0,4.0
060971534034014,2.833213344056216,4.110873864173311,2.8903717578961645,3.495055425688064,16.0,60.0,17.0
060971534034016,2.3025850929940455,1.6094379124341003,1.0986122886681096,0.7665202156733862,9.0,4.0,2.0
060971534041000,4.219507705176107,2.0794415416798357,4.304065093204169,11.070558408247381,67.0,7.0,73.0
060971534041001,2.6390573296152584,0.0,2.3025850929940455,0.5918168654215861,13.0,0.0,9.0
060971534041002,3.2188758248682006,1.0986122886681096,3.2580965380214817,5.501055139046075,24.0,2.0,25.0
060971534041003,4.04305126783455,2.4849066497880004,4.060443010546419,10.27191452138201,56.0,11.0,57.0
060971534042000,3.526360524616161,2.9444389791664403,3.5553480614894135,18.273921015305692,33.0,18.0,34.0
060971534042001,3.784189633918261,1.791759469228055,4.07753744390572,36.67040619146697,43.0,5.0,58.0
060971534042003,4.736198448394496,3.9318256327243257,4.9344739331306915,41.32043114908843,113.0,50.0,138.0
060971534042004,4.634728988229636,1.791759469228055,5.0106352940962555,6.7410288470567306,102.0,5.0,149.0
060971534042005,1.791759469228055,1.9459101490553132,1.9459101490553132,1.1806684688869888,5.0,6.0,6.0
060971534042006,0.0,2.5649493574615367,0.6931471805599453,3.7513034797349056,0.0,12.0,1.0
060971534042007,0.0,2.0794415416798357,0.6931471805599453,3.927983671290828,0.0,7.0,1.0
060971534042008,0.0,1.3862943611198906,0.6931471805599453,0.15098125460233366,0.0,3.0,1.0
060971534042009,3.6109179126442243,1.3862943611198906,3.6635616461296463,11.156798110139713,36.0,3.0,38.0
060971534042010,2.995732273553991,2.3978952727983707,2.772588722239781,3.9922310136747994,19.0,10.0,15.0
060971534042011,1.791759469228055,2.0794415416798357,1.0986122886681096,0.42848035266848866,5.0,7.0,2.0
060971534042016,3.044522437723423,0.6931471805599453,3.044522437723423,6.082740692784035,20.0,1.0,20.0
060971534042017,2.9444389791664403,1.6094379124341003,3.0910424533583156,4.5818239326292485,18.0,4.0,21.0
060971534042018,3.295836866004329,1.9459101490553132,3.1780538303479453,6.442772915297292,26.0,6.0,23.0
060971534042019,3.1354942159291497,1.9459101490553132,2.995732273553991,6.2174130066273605,22.0,6.0,19.0
060971534043000,0.0,0.0,0.0,2.0279920728663705,0.0,0.0,0.0
060971534043004,3.0910424533583156,0.0,3.1780538303479453,10.178755874925251,21.0,0.0,23.0
060971534043006,2.3025850929940455,0.0,1.9459101490553132,1.8878834454367088,9.0,0.0,6.0
060971534043008,0.0,0.0,0.0,3.487148060471575,0.0,0.0,0.0
060971534043011,2.3978952727983707,3.4011973816621555,1.6094379124341003,1.876269502774991,10.0,29.0,4.0
060971534043012,3.1354942159291497,1.6094379124341003,2.833213344056216,7.2424052228147255,22.0,4.0,16.0
060971534043013,1.9459101490553132,1.0986122886681096,1.3862943611198906,1.9232194837478933,6.0,2.0,3.0
060971535024026,2.995732273553991,0.6931471805599453,3.4011973816621555,1229.6402643036822,19.0,1.0,29.0
060971535024027,0.0,0.0,0.6931471805599453,110.3413510721893,0.0,0.0,1.0
060971535024028,3.2580965380214817,4.394449154672438,3.4011973816621555,181.89312207489263,25.0,80.0,29.0
060971535024029,2.3978952727983707,3.1780538303479453,2.3978952727983707,168.9388810089798,10.0,23.0,10.0
060971534011000,0.0,0.6931471805599453,1.0986122886681096,0.23944490296180249,0.0,1.0,2.0
060971534011001,3.6635616461296463,4.465908118654584,3.8066624897703196,259.1426439264022,38.0,86.0,44.0
060971534012000,4.04305126783455,4.007333185232471,4.330733340286331,166.41346624296366,56.0,54.0,75.0
060971534012001,3.4011973816621555,3.3672958299864737,3.58351893845611,64.12378980246413,29.0,28.0,35.0
060971534012002,2.70805020110221,1.0986122886681096,2.9444389791664403,25.49112151149286,14.0,2.0,18.0
060971534012003,3.9318256327243257,1.791759469228055,4.23410650459726,69.34882847442215,50.0,5.0,68.0
060971534012004,0.0,0.0,1.0986122886681096,0.520156368147156,0.0,0.0,2.0
060971534012005,4.634728988229636,4.418840607796597,4.897839799950911,201.94323500195213,102.0,82.0,133.0
060971534012006,2.3025850929940455,2.3025850929940455,2.3025850929940455,3.8034426691311287,9.0,9.0,9.0
